1,2015051088,95,100,,,15,98 
1,2015051092,98,95,,,15,97 
1,2015051100,98,95,,,15,97 
1,2015051001,95,96,,,15,96 
1,2015051091,93,98,,,15,96 
1,2015051090,93,95,,,15,95 
1,2015051094,96,88,,,15,93 
1,2015051089,90,90,,,15,92 
1,2015051098,85,95,,,15,92 
1,2015051101,90,90,,,15,92 
1,2015051103,90,90,,,15,92 
1,2015051119,100,80,,,15,92 
1,2015051110,94,85,,,15,91 
1,2015051093,98,80,,,15,91 
1,2015051102,90,88,,,15,91 
1,2015051104,98,80,,,15,91 
1,2015051125,98,80,,,15,91 
1,2015051095,96,80,,,15,90 
1,2015051074,90,85,,,15,89 
1,2015051085,95,80,,,15,89 
1,2015051097,90,85,,,15,89 
1,2015051107,92,80,,,15,88 
1,2015051086,90,80,,,15,87 
1,2015051117,90,78,1,,14,85 
1,2015051108,72,88,,,15,83 
1,2015051113,90,70,,,15,83 
1,2015051115,70,90,,,15,83 
1,2015051120,80,80,,,15,83 
1,2015051124,95,60,,,15,81 
1,2015051116,98,55,,,15,80 
1,2015051105,60,88,,,15,78 
1,2015051099,95,50,,1,14,76 
1,2015051112,85,55,1,,14,74 
1,2015051123,95,40,,,15,72 
1,2015051111,64,70,,,15,72 
1,2015051106,70,60,,,15,70 
1,2015051121,88,40,,,15,69 
1,2015051114,80,45,,,15,68 
1,2015051109,60,60,,,15,66 
1,2015051096,90,30,1,1,13,64 
1,2015051046,95,20,,,15,64 
1,2015051118,93,0,1,,14,54 
1,2015051082,0,85,,,15,51 
1,2015051122,70,0,,,15,45 
