30,2015051152,98,100,,,15,99 
9,2015051127,90,100,,,15,96 
10,2015051128,95,95,,,15,96 
35,2015051158,90,100,,,15,96 
16,2015051134,88,100,,,15,95 
8,2015051126,90,96,,,15,94 
22,2015051144,90,94,,,15,93 
44,2015121122,83,100,,,15,93 
11,2015051129,80,100,,,15,92 
25,2015051147,90,93,1,1,13,91 
13,2015051131,86,91,,,15,90 
7,2015051081,80,96,,,15,90 
23,2015051145,85,91,,,15,90 
37,2015051160,80,96,,,15,90 
41,2015051164,78,98,,,15,90 
32,2015051154,82,93,,,15,89 
40,2015051163,79,95,,,15,89 
6,2015051079,85,88,,,15,89 
24,2015051146,83,90,,,15,89 
34,2015051157,80,93,,,15,89 
12,2015051130,85,86,,,15,88 
14,2015051132,80,90,,,15,87 
18,2015051136,80,90,,,15,87 
19,2015051137,80,90,,,15,87 
17,2015051135,75,93,,,15,86 
20,2015051140,70,98,,,15,86 
38,2015051161,72,96,,,15,86 
21,2015051143,86,84,,1,14,86 
43,2015051166,85,81,1,,14,85 
15,2015051133,60,98,,,15,82 
26,2015051148,85,70,,,15,81 
29,2015051151,90,65,,,15,81 
28,2015051150,87,60,,,15,77 
27,2015051149,50,96,,,15,77 
4,2015051075,78,65,,,15,76 
42,2015051165,76,68,1,,14,75 
1,2015051064,70,70,,,15,75 
2,2015051066,80,60,,,15,75 
36,2015051159,50,90,,,15,75 
33,2015051156,72,65,,,15,73 
39,2015051162,80,54,,,15,72 
31,2015051153,60,60,,,15,66 
3,2015051068,60,0,,,15,41 
5,2015051076,0,60,,,15,41 
